iata;oaci;continent;latitude;longitude;municipality;country
YAE;;AS;60.255.001;90.195;Yartsevo;RU
YAG;CYAG;NA;48.655.749;'-93.44349;Fort Frances;CA
YAH;CYAH;NA;53.754.699.707;'-73.6753005981;La Grande-4;CA
YAI;SCCH;SA;'-36.5825;'-72.031403;Chillan;CL
YAK;PAYA;NA;59.508.717;'-139.660435;Yakutat;US
YAL;CYAL;NA;50.582.199;'-126.916;Alert Bay;CA
YAM;CYAM;NA;46.483.216;'-84.508467;Sault Ste Marie;CA
YAN;FZIR;AF;0.783;24.466.999;Yangambi;CD
YAO;FKKY;AF;383.604;115.235;Yaoundé;CM
YAP;PTYA;OC;949.891;138.082.993;Yap Island;FM
YAR;CYAD;NA;535.717.010.498;'-76.19640350339999;La Grande-3;CA
YAS;NFSW;OC;'-16.7589;177.544.998;Yasawa Island;FJ
YAT;CYAT;NA;52.927.502;'-82.4319;Attawapiskat;CA
YAU;;NA;616.622.009.277;'-73.3214035034;Kattiniq;CA
YAV;;NA;48.852.241;'-123.301982;Miners Bay;CA
YAX;;NA;5.384.920.120.239.250;'-89.57939910888672;Angling Lake;CA
YAY;CYAY;NA;51.391.909;'-56.08321;St. Anthony;CA
YAZ;CYAZ;NA;49.079.833;'-125.775583;Tofino;CA
YBA;CYBA;NA;51.208.222;'-115.540624;Banff;CA
YBB;CYBB;NA;68.535.711;'-89.805508;Kugaaruk;CA
YBC;CYBC;NA;491.325;'-68.204399;Baie-Comeau;CA
YBE;CYBE;NA;59.561.401;'-108.481003;Uranium City;CA
YBF;;NA;48.835.967;'-125.137453;Bamfield;CA
YBG;CYBG;NA;48.331.908;'-70.992909;La Baie;CA
YBI;;NA;53.469.836;'-55.787501;Black Tickle;CA
YBK;CYBK;NA;6.429.889.678.960.000;'-96.077796936;Baker Lake;CA
YBL;CYBL;NA;49.950.802;'-125.271004;Campbell River;CA
YBO;;NA;56.966.702;'-130.25;Bob Quinn Lake;CA
YBR;CYBR;NA;49.91;'-99.951897;Brandon;CA
YBS;;NA;526.067.008.972;'-90.3768997192;Opapimiskan Lake;CA
YBT;CYBT;NA;578.894;'-101.679001;Brochet;CA
YBV;CYBV;NA;52.358.898;'-97.018303;Berens River;CA
YBW;;NA;48.75;'-123.233001709;Bedwell Harbour;CA
YBX;CYBX;NA;514.436;'-57.185299;Blanc-Sablon;CA
YBY;CYBF;NA;54.304.199;'-110.744003;Bonnyville;CA
YCA;;NA;49.679.237;'-124.98064;Courtenay;CA
YCB;CYCB;NA;691.081.008.911;'-105.138000488;Cambridge Bay;CA
YCC;CYCC;NA;45.092.637;'-74.567724;Cornwall;CA
YCD;CYCD;NA;4.905.497;'-123.869863;Nanaimo;CA
YCE;CYCE;NA;43.285.599;'-81.508301;Huron Park;CA
YCG;CYCG;NA;49.296.398;'-117.632004;Castlegar;CA
YCH;CYCH;NA;47.007.801;'-65.449203;Miramichi;CA
YCL;CYCL;NA;47.990.799;'-66.330299;Charlo;CA
YCM;CYSN;NA;43.191.598;'-79.171686;Niagara-on-the-Lake;CA
YCN;CYCN;NA;4.910.559.844.970.700;'-81.01360321044922;Cochrane;CA
YCO;CYCO;NA;67.816.408;'-115.14307;Kugluktuk;CA
YCQ;CYCQ;NA;55.687.198.638.916.000;'-121.62699890136719;Chetwynd;CA
YCR;CYCR;NA;54.609.758;'-97.762442;Cross Lake;CA
YCS;CYCS;NA;63.346.901;'-90.731102;Chesterfield Inlet;CA
YCT;CYCT;NA;520.750.007.629;'-111.444999695;Coronation;CA
YCW;CYCW;NA;49.153.157;'-121.939309;Chilliwack;CA
YCY;CYCY;NA;70.486.099;'-68.516701;Clyde River;CA
YCZ;CYCZ;NA;50.331.052;'-115.873739;Fairmont Hot Springs;CA
YDA;CYDA;NA;6.404.309.844.970.700;'-139.1280059814453;Dawson City;CA
YDB;CYDB;NA;61.371.101;'-139.041;Burwash Landing;CA
YDC;;NA;53.265.800.476.074;'-114.95999908447;Drayton Valley;CA
YDF;CYDF;NA;492.108;'-57.391399;Deer Lake;CA
YDG;CYID;NA;445.458.450.365;'-65.7854247093;Digby;CA
YDJ;;NA;58.662.498.474.121;'-103.53800201416;Hatchet Lake;CA
YDL;CYDL;NA;58.422.199;'-130.031998;Dease Lake;CA
YDN;CYDN;NA;511.008;'-100.052002;Dauphin;CA
YDO;CYDO;NA;487.785;'-72.375;Dolbeau-Saint-Felicien;CA
YDP;CYDP;NA;56.550.778;'-61.682224;Nain;CA
YDQ;CYDQ;NA;55.741.245;'-120.183263;Dawson Creek;CA
YDT;CZBB;NA;490.742;'-123.012001;Delta;CA
YDU;;NA;60.291.900.634.766;'-102.50199890137;Kasba Lake;CA
YDV;CZTA;NA;51.784.568;'-96.692305;Bloodvein River;CA
YDW;;NA;60.316.398.620.605;'-103.12899780273;Obre Lake;CA
YEB;;NA;46.421.233;'-84.096478;Echo Bay;CA
YEC;RKTY;AS;36.630.373;12.834.971;Yecheon-ri;KR
YEG;CYEG;NA;533.097;'-113.580002;Edmonton;CA
YEI;LTBR;AS;40.255.199;29.562.599;Yenişehir;TR
YEK;CYEK;NA;610.942;'-94.070801;Arviat;CA
YEL;CYEL;NA;46.351.398.468;'-82.5614013672;Elliot Lake;CA
YEM;CYEM;NA;45.842.435;'-81.857595;Sheguiandah;CA
YEN;CYEN;NA;492.103.004.456;'-102.966003418;Estevan;CA
YEO;EGDY;EU;51.009.399;'-2.63882;Yeovil, Somerset;GB
YER;CYER;NA;56.018.902;'-87.676102;Fort Severn;CA
YES;OISY;AS;30.702.238;51.542.988;Yasuj;IR
YET;CYET;NA;53.578.899.383.499.900;'-116.464996338;Edson;CA
YEU;CYEU;NA;799.946.975.708;'-85.814201355;Eureka;CA
YEV;CYEV;NA;6.830.419.921.880.000;'-133.483001709;Inuvik;CA
YEY;CYEY;NA;48.563.903;'-78.249702;Amos;CA
YFA;CYFA;NA;52.203.451;'-81.695194;Fort Albany;CA
YFB;CYFB;NA;63.756.402;'-68.555801;Iqaluit;CA
YFC;CYFC;NA;45.868.900.299.072.200;'-66.53720092773438;Fredericton;CA
YFE;CYFE;NA;4.874.610.137.939.450;'-69.09719848632812;Forestville;CA
YFG;;NA;54.553.901.672.363;'-71.173301696777;Fontanges;CA
YFH;CYFH;NA;51.561.901;'-87.907799;Fort Hope;CA
YFI;;NA;57.275.833;'-110.976666;Suncor Energy Site;CA
YFJ;CYWE;NA;64.190.804;'-114.077002;Wekweètì;CA
YFL;;NA;62.7;'-109.167;Fort Reliance;CA
YFO;CYFO;NA;54.678.101;'-101.681999;Flin Flon;CA
YFR;CYFR;NA;611.808.013.916;'-113.690002441;Fort Resolution;CA
YFS;CYFS;NA;6.176.020.050.048.820;'-121.23699951171875;Fort Simpson;CA
YFX;;NA;52.372.799;'-55.673901;St. Lewis;CA
YGB;CYGB;NA;49.694.341;'-124.518099;Texada;CA
YGG;;NA;488.545;'-123.4969;Salt Spring Island;CA
YGH;CYGH;NA;66.240.658;'-128.647757;Fort Good Hope;CA
YGJ;RJOH;AS;35.492.199;133.235.992;Yonago;JP
YGK;CYGK;NA;442.253;'-76.596901;Kingston;CA
YGL;CYGL;NA;53.625.301.361.083.900;'-77.7042007446289;La Grande Rivière;CA
YGM;CYGM;NA;5.062.810.134.887.690;'-97.04329681396484;Gimli;CA
YGO;CYGO;NA;5.455.768;'-94.490061;Gods Lake Narrows;CA
YGP;CYGP;NA;48.774.915;'-64.481893;Gaspé;CA
YGQ;CYGQ;NA;4.977.830.123.901.360;'-86.93939971923828;Geraldton;CA
YGR;CYGR;NA;47.425.242;'-61.778612;Les Îles-de-la-Madeleine;CA
YGT;CYGT;NA;693.647;'-81.816101;Igloolik;CA
YGV;CYGV;NA;50.281.898;'-63.611401;Havre-Saint-Pierre;CA
YGW;CYGW;NA;55.281.898.498.535.100;'-77.76529693603516;Kuujjuarapik;CA
YGX;CYGX;NA;5.635.712;'-94.711504;Gillam;CA
YGZ;CYGZ;NA;76.425.823;'-82.908583;Grise Fiord;CA
YHA;;NA;52.528.099.060.058.500;'-56.28609848022461;Port Hope Simpson;CA
YHB;CYHB;NA;528.166.999.817;'-102.310997009;Hudson Bay;CA
YHD;CYHD;NA;49.831.699;'-92.744202;Dryden;CA
YHE;CYHE;NA;49.368.865;'-121.49495;Hope;CA
YHF;CYHF;NA;4.971.419.906.616.210;'-83.68609619140625;Hearst;CA
YHG;;NA;52.765.774;'-56.11237;Charlottetown;CA
YHH;;NA;50.049.999;'-125.25;Campbell River;CA
YHI;CYHI;NA;70.762.802;'-117.806;Ulukhaktok;CA
YHK;CYHK;NA;68.635.597;'-95.849701;Gjoa Haven;CA
YHM;CYHM;NA;43.173.599.243.199.900;'-79.93499755859999;Hamilton;CA
YHN;CYHN;NA;4.919.309.997.558.590;'-84.75890350341797;Hornepayne;CA
YHO;CYHO;NA;55.448.757;'-60.228124;Hopedale;CA
YHP;CYHP;NA;521.133;'-94.2556;Poplar Hill;CA
YHR;CYHR;NA;50.468.322;'-59.637823;Chevery;CA
YHS;;NA;49.460.601.806.599.900;'-123.71900177;Sechelt;CA
YHT;CYHT;NA;607.892;'-137.546005;Haines Junction;CA
YHU;CYHU;NA;45.517.502;'-73.416901;Montréal;CA
YHY;CYHY;NA;608.396.987.915;'-115.782997131;Hay River;CA
YHZ;CYHZ;NA;448.807.983.398;'-63.5085983276;Halifax;CA
YIB;CYIB;NA;48.773.899;'-91.638603;Atikokan;CA
YIF;CYIF;NA;512.117;'-58.658298;St-Augustin;CA
YIG;;NA;503.923;'-125.1372;Stuart Island;CA
YIH;ZHYC;AS;30.554.132;111.482.563;Yichang (Xiaoting);CN
YIK;CYIK;NA;62.417.301;'-77.925301;Ivujivik;CA
YIN;ZWYN;AS;43.955.799;81.330.299;Ili (Yining / Ghulja);CN
YIO;CYIO;NA;72.689.494;'-77.968941;Pond Inlet;CA
YIP;KYIP;NA;422.379;'-83.530403;Detroit;US
YIV;CYIV;NA;53.857.200.622.558.500;'-94.65360260009766;Island Lake;CA
YIW;ZSYW;AS;29.342.095;12.003.116;Jinhua (Yiwu);CN
YJA;CYJA;NA;52.996.418;'-118.060233;Jasper;CA
YJF;CYJF;NA;60.235.801.696.799.900;'-123.46900177;Fort Liard;CA
YJN;CYJN;NA;4.529.439.926.147.460;'-73.28109741210938;St Jean;CA
YJP;;NA;53.319.199;'-117.752998;Hinton;CA
YJS;ZKSE;AS;41.907.132;128.409.834;Samjiyŏn;KP
YJT;CYJT;NA;48.544.201;'-58.549999;Stephenville;CA
YKA;CYKA;NA;50.703.038;'-120.448641;Kamloops;CA
YKC;CYKC;NA;58.236.099.243.199.900;'-103.678001404;Collins Bay;CA
YKD;CYKM;NA;44.201.401;'-81.606697;Kincardine;CA
YKE;;NA;54.915.298;'-94.798103;Knee Lake;CA
YKF;CYKF;NA;434.608;'-80.378601;Breslau;CA
YKG;CYAS;NA;60.027.199;'-69.999199;Kangirsuk;CA
YKJ;CYKJ;NA;57.256.099.700.927.700;'-105.61799621582031;Key Lake;CA
YKK;;NA;537.999.992.371;'-130.432998657;Kitkatla;CA
YKL;CYKL;NA;54.805.301.666.259.700;'-66.8052978515625;Schefferville;CA
YKM;KYKM;NA;4.656.819.916;'-120.5439987;Yakima;US
YKN;KYKN;NA;42.916.698.455.811;'-97.385902404785;Yankton;US
YKQ;CYKQ;NA;51.473.301;'-78.758301;Waskaganish;CA
YKS;UEEE;AS;62.093.299.865.722.600;12.977.099.609.375;Yakutsk;RU
YKU;;NA;53.805.599.212.646.400;'-78.91690063476562;Chisasibi;CA
YKX;CYKX;NA;4.821.030.044.555.660;'-79.98139953613281;Kirkland Lake;CA
YKY;CYKY;NA;515.175.018.311;'-109.180999756;Kindersley;CA
YLB;CYLB;NA;547.703.018.188;'-112.031997681;Lac La Biche;CA
YLC;CYLC;NA;62.848.253;'-69.877853;Kimmirut;CA
YLD;CYLD;NA;4.781.999.969.482.420;'-83.3467025756836;Chapleau;CA
YLE;;NA;6.313.169.860.839.840;'-117.24600219726562;Whatì;CA
YLG;YYAL;OC;'-28.355300903299998;116.683.998.108;Yalgoo;AU
YLH;CYLH;NA;52.195.599;'-87.934196;Lansdowne House;CA
YLI;EFYL;EU;64.054.722;24.725.278;Ylivieska;FI
YLJ;CYLJ;NA;54.125.301.361.083.900;'-108.52300262451172;Meadow Lake;CA
YLK;CYLS;NA;44.485.056;'-79.554663;Barrie;CA
YLL;CYLL;NA;533.092;'-110.072998;Lloydminster;CA
YLQ;CYLQ;NA;474.096.984.863;'-72.7889022827;La Tuque;CA
YLR;CYLR;NA;56.513.301.849.365.200;'-99.98529815673828;Leaf Rapids;CA
YLS;;NA;490.303.001.404;'-77.0171966553;Lebel-sur-Quévillon;CA
YLT;CYLT;NA;82.517.799;'-62.280602;Alert;CA
YLV;UBEE;AS;40.631.901;47.141.899;Yevlakh;AZ
YLW;CYLW;NA;499.561;'-119.377998;Kelowna;CA
YLY;CYNJ;NA;491.008;'-122.630997;Langley;CA
YMA;CYMA;NA;6.361.640.167.236.320;'-135.8679962158203;Mayo;CA
YMB;;NA;50.122.504;'-120.745368;Merritt;CA
YME;CYME;NA;4.885.689.926.147.460;'-67.45330047607422;Matane;CA
YMG;CYMG;NA;49.083.900.451.660.100;'-85.86060333251953;Manitouwadge;CA
YMH;CYMH;NA;52.302.837;'-55.847433;Mary's Harbour;CA
YMJ;CYMJ;NA;50.330.299.377.441.400;'-105.55899810791016;Moose Jaw;CA
YMK;USDK;AS;68.467.676;73.596.733;Mys Kamennyi;RU
YML;CYML;NA;4.759.749.984.741.210;'-70.2238998413086;Charlevoix;CA
YMM;CYMM;NA;56.653.301.239;'-111.222000122;Fort McMurray;CA
YMN;CYFT;NA;55.077.335;'-59.187942;Makkovik;CA
YMO;CYMO;NA;51.291.099.548.339.800;'-80.60780334472656;Moosonee;CA
YMP;;NA;5.057.348;'-127.027702;Port McNeill;CA
YMS;SPMS;SA;'-5.89377;'-76.118202;Yurimaguas;PE
YMT;CYMT;NA;4.977.190.017.700.190;'-74.5280990600586;Chibougamau;CA
YMU;;NA;5.007.137;'-124.98362;Mansons Landing;CA
YMW;CYMW;NA;462.728;'-75.990601;Messines;CA
YMX;CYMX;NA;45.679.501;'-74.038696;Montréal;CA
YNA;CYNA;NA;50.190.114;'-61.78898;Natashquan;CA
YNB;OEYN;AS;24.144.199;380.634;Yanbu;SA
YNC;CYNC;NA;53.010.601;'-78.8311;Wemindji;CA
YND;CYND;NA;45.521.702;'-75.563599;Gatineau;CA
YNE;CYNE;NA;53.958.302;'-97.8442;Norway House;CA
YNG;KYNG;NA;4.126.070.023;'-80.67910004;Youngstown/Warren;US
YNH;CYNH;NA;56.035.142;'-121.978326;Hudson's Hope;CA
YNJ;ZYYJ;AS;428.828.010.559;129.451.004.028;Yanji;CN
YNL;CYNL;NA;5.827.669.906.616.210;'-104.08200073242188;Points North Landing;CA
YNM;CYNM;NA;4.976.169.967.651.360;'-77.80280303955078;Matagami;CA
YNO;;NA;524.900.016.784.668;'-92.97109985351562;North Spirit Lake;CA
YNP;;NA;55.913.898;'-61.184399;Natuashish;CA
YNS;CYHH;NA;51.691.101;'-76.135597;Nemiscau;CA
YNX;;NA;63.593.601;'-110.905998;Snap Lake Mine;CA
YNY;RKNY;AS;38.061.298;128.669.006;Gonghang-ro;KR
YNZ;ZSYN;AS;33.425.833;120.203.056;Yancheng (Tinghu);CN
YOA;CYOA;NA;646.988.983.154;'-110.614997864;Ekati;CA
YOC;CYOC;NA;67.570.602;'-139.839005;Old Crow;CA
YOD;CYOD;NA;54.404.998.779.296.800;'-110.27899932861328;Cold Lake;CA
YOE;;NA;557.094;'-117.094002;Donnelly;CA
YOG;CYKP;NA;516.585.998.535;'-85.9017028809;Ogoki Post;CA
YOH;CYOH;NA;549.333;'-95.2789;Oxford House;CA
YOJ;CYOJ;NA;5.862.139.892.578.120;'-117.16500091552734;High Level;CA
YOL;DNYO;AF;9.257.550.239.562.980;12.430.399.894.714.300;Yola;NG
YON;VQTY;AS;2.725.627;91.514.633;Yongphulla;BT
YOO;CYOO;NA;43.922.798;'-78.894997;Oshawa;CA
YOP;CYOP;NA;58.491.402;'-119.407997;Rainbow Lake;CA
YOS;CYOS;NA;445.903.015.137;'-80.8375015259;Owen Sound;CA
YOW;CYOW;NA;45.322.498;'-75.669197;Ottawa;CA
YPA;CYPA;NA;53.214.199.066.199.900;'-105.672996521;Prince Albert;CA
YPB;;NA;49.321.899;'-124.931;Port Alberni;CA
YPC;CYPC;NA;69.360.838;'-124.07547;Paulatuk;CA
YPD;;NA;452.575;'-79.829697;Parry Sound;CA
YPE;CYPE;NA;56.226.898;'-117.446999;Peace River;CA
YPG;CYPG;NA;49.903.099;'-98.273817;Portage La Prairie;CA
YPH;CYPH;NA;58.471.901;'-78.076897;Inukjuak;CA
YPJ;CYLA;NA;592.967;'-69.599701;Aupaluk;CA
YPL;CYPL;NA;514.463.996.887.207;'-90.21420288085938;Pickle Lake;CA
YPM;CYPM;NA;51.819.698;'-93.973297;Pikangikum;CA
YPN;CYPN;NA;49.836.399;'-64.288597;Port-Menier;CA
YPO;CYPO;NA;54.987.932;'-85.442648;Peawanuck;CA
YPQ;CYPQ;NA;44.23;'-78.363297;Peterborough;CA
YPR;CYPR;NA;54.286.098.480.199.900;'-130.445007324;Prince Rupert;CA
YPS;CYPD;NA;456.567.001.343;'-61.3680992126;Port Hawkesbury;CA
YPT;;NA;49.623.785;'-124.024884;Sunshine Coast;CA
YPW;CYPW;NA;4.983.420.181.274.410;'-124.5;Powell River;CA
YPX;CYPX;NA;60.050.598;'-77.286903;Puvirnituq;CA
YPY;CYPY;NA;587.672.004.699.707;'-111.11699676513672;Fort Chipewyan;CA
YPZ;CYPZ;NA;543.764;'-125.950996;Burns Lake;CA
YQA;CYQA;NA;44.975.376;'-79.306546;Gravenhurst;CA
YQB;CYQB;NA;467.911;'-71.393303;Quebec;CA
YQC;CYHA;NA;61.046.398;'-69.617798;Quaqtaq;CA
YQD;CYQD;NA;5.397.140.121.459.960;'-101.09100341796875;The Pas;CA
YQF;CYQF;NA;52.182.201;'-113.893997;Springbrook;CA
YQG;CYQG;NA;4.227.560.043.334.960;'-82.95559692382812;Windsor;CA
YQH;CYQH;NA;60.116.839;'-128.821993;Watson Lake;CA
YQI;CYQI;NA;43.826.900.482.177.700;'-66.08809661865234;Yarmouth;CA
YQK;CYQK;NA;49.788.299.560.546.800;'-94.36309814453125;Kenora;CA
YQL;CYQL;NA;496.302.986.145;'-112.800003052;Lethbridge;CA
YQM;CYQM;NA;46.112.202;'-64.678596;Moncton;CA
YQN;CYQN;NA;5.018.280.029.296.870;'-86.69640350341797;Nakina;CA
YQQ;CYQQ;NA;497.108;'-124.887001;Comox;CA
YQR;CYQR;NA;5.043.190.002.441.400;'-104.66600036621094;Regina;CA
YQS;CYQS;NA;4.277.000.045.776.360;'-81.11080169677734;St Thomas;CA
YQT;CYQT;NA;4.837.189.865.112.300;'-89.32389831542969;Thunder Bay;CA
YQU;CYQU;NA;551.796.989.441;'-118.885002136;Grande Prairie;CA
YQV;CYQV;NA;5.126.470.184.326.170;'-102.46199798583984;Yorkton;CA
YQW;CYQW;NA;52.769.409;'-108.243742;North Battleford;CA
YQX;CYQX;NA;48.936.258;'-54.567719;Gander;CA
YQY;CYQY;NA;461.614;'-60.047798;Sydney;CA
YQZ;CYQZ;NA;53.026.100.158.691.400;'-122.51000213623047;Quesnel;CA
YRA;CYRA;NA;64.116.096;'-117.309998;Gamètì;CA
YRB;CYRB;NA;747.169.036.865;'-94.9693984985;Resolute Bay;CA
YRF;CYCA;NA;53.682.501;'-57.042303;Cartwright;CA
YRG;;NA;541.796.989.440.918;'-58.45750045776367;Rigolet;CA
YRI;CYRI;NA;47.764.400.482.177.700;'-69.58470153808594;Rivière-du-Loup;CA
YRJ;CYRJ;NA;48.519.665;'-72.265735;Roberval;CA
YRL;CYRL;NA;51.066.898.345.947.200;'-93.79309844970703;Red Lake;CA
YRM;CYRM;NA;524.296.989.441;'-114.903999329;Rocky Mountain House;CA
YRN;;NA;51.683.985;'-127.264044;Rivers Inlet;CA
YRO;CYRO;NA;454.603.004.456;'-75.64610290530001;Ottawa;CA
YRQ;CYRQ;NA;4.635.279.846.191.400;'-72.67939758300781;Trois-Rivières;CA
YRS;CYRS;NA;54.167.198;'-93.557198;Red Sucker Lake;CA
YRT;CYRT;NA;628.114.013.672;'-92.1157989502;Rankin Inlet;CA
YRV;CYRV;NA;50.962.245;'-118.184258;Revelstoke;CA
YSA;;NA;43.930.951;'-59.996147;Sable Island;CA
YSB;CYSB;NA;46.625;'-80.79889678955078;Sudbury;CA
YSC;CYSC;NA;45.438.599;'-71.691399;Sherbrooke;CA
YSD;CYSD;NA;50.276.359;'-111.180189;Ralston;CA
YSE;CYSE;NA;497.817.001.343;'-123.162002563;Squamish;CA
YSF;CYSF;NA;59.250.301.361.083.900;'-105.84100341796875;Stony Rapids;CA
YSG;CYLK;NA;62.417.823;'-110.682793;Lutselk'e;CA
YSH;CYSH;NA;44.945.801;'-75.940598;Smiths Falls;CA
YSI;;NA;45.173.302;'-80.137497;Frying Pan Island;CA
YSJ;CYSJ;NA;4.531.610.107.421.870;'-65.89029693603516;Saint John;CA
YSK;CYSK;NA;56.536.891;'-79.250221;Sanikiluaq;CA
YSL;CYSL;NA;47.157.097;'-67.836242;Saint-Léonard;CA
YSM;CYSM;NA;60.020.302;'-111.961998;Fort Smith;CA
YSN;CZAM;NA;50.682.802;'-119.228996;Salmon Arm;CA
YSO;;NA;549.105;'-59.78507;Postville;CA
YSP;CYSP;NA;4.875.529.861.450.190;'-86.34439849853516;Marathon;CA
YST;CYST;NA;53.845.261;'-94.851966;St. Theresa Point;CA
YSU;CYSU;NA;46.440.601;'-63.833599;Slemon Park;CA
YSV;;NA;58.474.312;'-62.653999;Saglek;CA
YSX;;NA;52.150.002;'-128.08299;Bella Bella;CA
YSY;CYSY;NA;71.993.896;'-125.242996;Sachs Harbour;CA
YTA;CYTA;NA;4.586.439.895.629.880;'-77.25170135498047;Pembroke;CA
YTB;;NA;53.416.698;'-129.25;Hartley Bay;CA
YTD;CZLQ;NA;5.531.890.106.201.170;'-97.70780181884766;Thicket Portage;CA
YTE;CYTE;NA;64.230.003;'-76.526703;Kinngait;CA
YTF;CYTF;NA;485.089;'-71.641899;Alma;CA
YTG;;NA;50.885.359;'-126.831069;Sullivan Bay;CA
YTH;CYTH;NA;5.580.110.168.457.030;'-97.86419677734375;Thompson;CA
YTL;CYTL;NA;53.817.799;'-89.896896;Big Trout Lake;CA
YTM;CYFJ;NA;46.409.401;'-74.779999;La Macaza;CA
YTP;;NA;49.155;'-125.91;Tofino;CA
YTQ;CYTQ;NA;58.667.801;'-69.955803;Tasiujaq;CA
YTR;CYTR;NA;44.118.900.299.072.200;'-77.5280990600586;Trenton;CA
YTS;CYTS;NA;48.569.698.333.699.900;'-81.376701355;Timmins;CA
YTT;;NA;52.836.700.439.453;'-104.06700134277;Tisdale;CA
YTZ;CYTZ;NA;43.627.499;'-79.396202;Toronto;CA
YUA;ZPYM;AS;25.737.499;101.882.004;Chuxiong (Yuanmou);CN
YUB;CYUB;NA;69.433.296;'-133.026001;Tuktoyaktuk;CA
YUD;CYMU;NA;56.536.098;'-76.518303;Umiujaq;CA
YUE;YYND;OC;'-22.2542;131.781.998;;AU
YUK;UDCK;AS;39.202.272;46.455.204;Kapan;AM
YUL;CYUL;NA;45.467.837;'-73.742294;Montréal;CA
YUM;KNYL;NA;32.650.938;'-114.609375;Yuma;US
YUT;CYUT;NA;66.521.024;'-86.225166;Repulse Bay;CA
YUX;CYUX;NA;687.761;'-81.2425;Sanirajak;CA
YUY;CYUY;NA;4.820.610.046.386.710;'-78.83560180664062;Rouyn-Noranda;CA
YVB;CYVB;NA;48.071.098;'-65.460297;Bonaventure;CA
YVC;CYVC;NA;55.151.401.519.800.000;'-105.262001038;La Ronge;CA
YVE;CYVK;NA;50.246.163;'-119.330963;Vernon;CA
YVG;CYVG;NA;53.357.714;'-110.827388;Vermilion;CA
YVM;CYVM;NA;6.754.656;'-64.03141;Qikiqtarjuaq;CA
YVO;CYVO;NA;480.532.989.502;'-77.7827987671;Val-d'Or;CA
YVP;CYVP;NA;58.096.099.853.515.600;'-68.4269027709961;Kuujjuaq;CA
YVQ;CYVQ;NA;6.528.160.095.214.840;'-126.7979965209961;Norman Wells;CA
YVR;CYVR;NA;49.193.901.062;'-123.183998108;Vancouver;CA
YVT;CYVT;NA;558.418.998.718;'-108.417999268;Buffalo Narrows;CA
YVV;CYVV;NA;447.458;'-81.107201;Wiarton;CA
YVZ;CYVZ;NA;52.655.613;'-94.061208;Deer Lake;CA
YWA;CYWA;NA;45.952.202;'-77.319199;Petawawa;CA
YWB;CYKG;NA;615.886;'-71.929398;Kangiqsujuaq;CA
YWG;CYWG;NA;49.909.999.847.399.900;'-97.2398986816;Winnipeg;CA
YWH;CYWH;NA;48.423.782;'-123.37198;Victoria;CA
YWJ;CYWJ;NA;65.211.098;'-123.435997;Déline;CA
YWK;CYWK;NA;5.292.190.170.288.080;'-66.8644027709961;Wabush;CA
YWL;CYWL;NA;521.831.016.541;'-122.054000854;Williams Lake;CA
YWM;;NA;52.567.377;'-55.784883;Williams Harbour;CA
YWP;CYWP;NA;52.959.393;'-87.374868;Webequie;CA
YWQ;;NA;499.434;'-71.138;Chutes-des-Passes;CA
YWR;;NA;486.269;'-85.223297;White River;CA
YWS;;NA;501.436.004.639;'-122.948997498;Whistler;CA
YWY;CYWY;NA;6.320.940.017.700.190;'-123.43699645996094;Wrigley;CA
YXC;CYXC;NA;49.610.801.696.777;'-115.78199768066;Cranbrook;CA
YXE;CYXE;NA;52.170.799.255.371.000;'-106.69999694824219;Saskatoon;CA
YXH;CYXH;NA;50.018.902;'-110.721001;Medicine Hat;CA
YXJ;CYXJ;NA;56.238.098;'-120.739998;Fort Saint John;CA
YXK;CYXK;NA;48.477.644;'-68.496323;Rimouski;CA
YXL;CYXL;NA;5.011.389.923.095.700;'-91.9052963256836;Sioux Lookout;CA
YXN;CYXN;NA;62.240.002;'-92.598099;Whale Cove;CA
YXP;CYXP;NA;66.144.878;'-65.713606;Pangnirtung;CA
YXQ;CYXQ;NA;62.410.301.208.496.000;'-140.86700439453125;Beaver Creek;CA
YXR;CYXR;NA;47.697.400.654.599.900;'-79.8473453522;Earlton;CA
YXS;CYXS;NA;53.884.311;'-122.666554;Prince George;CA
YXT;CYXT;NA;54.468.498;'-128.576009;Terrace;CA
YXU;CYXU;NA;43.035.599;'-81.1539;London;CA
YXX;CYXX;NA;49.025.299;'-122.361;Abbotsford;CA
YXY;CYXY;NA;60.709.599;'-135.067001;Whitehorse;CA
YXZ;CYXZ;NA;4.796.670.150.756.830;'-84.78669738769531;Wawa;CA
YYB;CYYB;NA;46.363.602;'-79.422798;North Bay;CA
YYC;CYYC;NA;51.118.822;'-114.009933;Calgary;CA
YYD;CYYD;NA;5.482.469.940.185.540;'-127.18299865722656;Smithers;CA
YYE;CYYE;NA;588.363.990.784;'-122.597000122;Fort Nelson;CA
YYF;CYYF;NA;4.946.310.043.334.960;'-119.60199737548828;Penticton;CA
YYG;CYYG;NA;46.290.000.915.527.300;'-63.12110137939453;Charlottetown;CA
YYH;CYYH;NA;695.467;'-93.576698;Taloyoak;CA
YYJ;CYYJ;NA;48.647.201;'-123.427792;Victoria;CA
YYL;CYYL;NA;5.686.389.923.095.700;'-101.07599639892578;Lynn Lake;CA
YYM;CYYM;NA;49.636.398.315.399.900;'-114.09400177;Cowley;CA
YYN;CYYN;NA;50.291.900.634.799.900;'-107.691001892;Swift Current;CA
